age,study_hours_per_day,social_media_hours,attendance_percentage,sleep_hours,mental_health_rating,exam_score
23,0,1.2,85,8,8,56.2
20,6.9,2.8,97.3,4.6,8,100
21,1.4,3.1,94.8,8,1,34.3
23,1,3.9,71,9.2,1,26.8
19,5,4.4,90.9,4.9,1,66.4
24,7.2,1.3,82.9,7.4,4,100
21,5.6,1.5,85.8,6.5,4,89.8
21,4.3,1,77.7,4.6,8,72.6
23,4.4,2.2,100,7.1,1,78.9
18,4.8,3.1,95.4,7.5,10,100
19,4.6,3.7,77.6,5.8,3,63.3
23,3.9,2.4,71.7,7.9,1,74.4
19,3.7,2.1,81.1,4.5,9,76.9
19,3.4,2.7,89.3,4.7,10,75.8
24,2.4,1.5,87.4,6.7,9,78.9
21,3.1,5,97.5,6.5,7,74
20,1,0.6,92.9,5.6,8,55.2
24,3.4,2.7,94.7,7.5,1,70.8
24,2,4.9,88.3,7.1,5,43.9
19,1.8,2.5,71.1,7.5,2,45.3
22,3.8,2.3,83,6.4,1,58.5
21,5.6,2.1,95.6,7.2,3,82.5
18,4.9,2.3,84.5,6,7,98.7
24,1.1,4.1,90,9,1,43.7
20,2,0,81.8,5.5,2,54.9
22,4.9,4.3,74.7,9,2,69.9
22,2,0.8,83.8,6.5,4,73.5
18,3.2,2.2,88.1,4.8,3,71.1
24,4.3,2,78.4,8.1,3,82.8
20,2,3.2,82.6,6.7,10,75.7
21,3.7,0.6,75.6,7.5,5,70.6
17,1.5,3.1,96.2,8,3,51.3
20,2.6,4.9,82.1,6.9,7,52.1
18,4,0.9,99.5,5.8,5,70.7
22,1.1,2.7,100,7.7,4,51.2
21,4.2,1.7,84.2,6.5,3,72.6
20,3.5,3,74.9,7.3,4,70.7
17,4.3,2.5,64.1,3.9,2,59.4
17,3.8,1.7,70.3,7,1,58.1
19,5.5,3.1,71.3,5.7,3,82.3
19,3.7,4.7,98.8,8.5,2,69.7
23,2.9,2.3,86.2,7.2,1,66
18,3.7,3.4,88.9,6.8,1,63.5
24,4.3,0.9,62.8,7.1,2,65.7
20,3.6,1.4,73,5.3,9,78.5
20,3.6,3.1,93.9,8.4,5,75.1
24,2.4,4.3,87.9,8.9,9,71
23,2.5,2.9,83.5,7,8,59.7
22,1.4,2.1,90.6,8.4,6,52.6
22,6.1,2.5,100,5.8,1,96.5
23,1.6,1,82.8,5.5,10,62
22,2.5,3.2,85.7,6.5,5,59.7
19,2.4,3.6,86.9,7,1,48.4
20,4.8,2,100,6,7,70.6
23,3.1,1.9,64,7.1,10,68.1
20,5.4,2.8,91.8,6.9,8,87.2
24,2.5,2,83.9,5.3,8,66.7
17,3.9,2.4,90.7,7.1,7,75.2
19,2.2,5,78.4,7.5,2,46.4
21,6.7,2.2,84.5,6.7,5,97.1
19,1.7,2.1,92.1,7.9,4,61.2
23,4,1.7,100,5,5,75
21,4.5,3.4,93.1,7.1,10,94.7
17,4.1,2.3,76.5,5.1,9,77.6
23,3.2,1.7,80.8,5.2,4,68.6
18,3.3,4.1,80.5,5.7,8,69.6
20,3.6,4.2,67,5.4,8,66.5
17,3.3,1.8,81.7,5.8,2,62.2
20,4.9,0.3,92.3,6.2,6,82.1
22,6.8,3.7,72.3,7.5,5,100
18,2.7,1.7,95.5,6.1,2,59.7
18,1.4,3.4,89.9,4.6,10,55.1
17,3.4,0.1,77.7,7.9,4,77.1
18,7.4,3.6,83.6,5.5,7,97.7
21,2.3,1,100,6.4,1,66.9
18,6,3.4,92.3,7,9,99.9
20,6,2.5,85.1,6.7,10,100
20,2.7,1.4,82.6,7.8,1,57.2
23,4.4,2,85.8,7.1,5,77.3
20,5.9,3.3,79.9,5.5,7,91.6
23,2.9,2.6,64,9.1,8,70.7
20,3.2,3.2,100,6.7,2,57.6
21,2.6,4.9,86.6,6.3,4,60.2
24,2,0.6,89,7.7,2,50.5
23,2.5,4.4,84.4,6.8,4,51.3
19,1.7,2.6,77.6,7,6,53.5
22,3.6,1.4,83.1,9.5,6,79.2
17,2.3,0.9,69,6.2,2,47.2
20,3.9,2.3,100,6.1,4,73.4
18,1.2,3.6,72.7,6.6,4,41.1
24,4,2.3,74.7,7.8,1,77.8
20,4.8,4.3,80.6,4.7,2,63.4
18,0.5,0.8,97.9,4.1,3,43.9
